REPORT_LAYOUT_ITEM_ID	REPORT_LAYOUT_ID	ITEM_CD	DICT_ID	ITEM_TYPE	VISIBLE	ITEM_FORMAT
1202	63	lblCenterCd	5142	String	1	
1203	63	lblWorkDt	387	String	1	
1204	63	lblDelivDt	589	String	1	
1205	63	lblCarrierNm	711	String	1	
1206	63	lblDeliveryCourseCd	980	String	1	
1207	63	lblSupplyCustomerCd	994	String	1	
1208	63	lblPickingWorkMessage	451	String	1	
1209	63	lblLineNo	760	String	1	
1210	63	lblWarehouseCd	723	String	1	
1211	63	lblLocationNm	1126	String	1	
1212	63	lblStoreLabelNo	573	String	1	
1213	63	lblProductCd	465	String	1	
1214	63	lblProductNm	469	String	1	
1215	63	lblLimitDt	313	String	1	
1216	63	lblJanCd	180	String	1	
1217	63	lblLot	266	String	1	
1218	63	lblStringUnitNum	585	String	1	
1219	63	lblSumPickingNum	1127	String	1	
1220	63	lblChargeNum	279	String	1	
1221	63	lblTotal	1137	String	1	
1222	63	lblConfirm	1120	String	1	
1223	63	lblPickingWorkNo	450	String	1	
1224	63	lblAgain	1118	String	1	
1225	63	lblOrderPickingList	1139	String	1	
1226	63	lblShippingPackingNo	438	String	1	
1227	63	lblBox	837	String	1	
1228	63	lblOrders	2458	String	1	
1229	63	lblStoreDt	583	String	1	
1230	63	lblBreakdown	2681	String	1	
1231	64	lblClientCd	734	String	1	
1232	64	lblCenterCd	5142	String	1	
1233	64	lblWorkDt	387	String	1	
1234	64	lblDelivDt	589	String	1	
1235	64	lblCarrierNm	711	String	1	
1236	64	lblDeliveryCourseCd	980	String	1	
1237	64	lblSupplyCustomerCd	994	String	1	
1238	64	lblPickingWorkMessage	451	String	1	
1239	64	lblLineNo	760	String	1	
1240	64	lblWarehouseCd	723	String	1	
1241	64	lblLocationNm	1126	String	1	
1242	64	lblStoreLabelNo	573	String	1	
1243	64	lblProductCd	465	String	1	
1244	64	lblProductNm	469	String	1	
1245	64	lblLimitDt	313	String	1	
1246	64	lblJanCd	180	String	1	
1247	64	lblLot	266	String	1	
1248	64	lblStringUnitNum	585	String	1	
1249	64	lblSumPickingNum	1127	String	1	
1250	64	lblChargeNum	279	String	1	
1251	64	lblTotal	1137	String	1	
1252	64	lblConfirm	1120	String	1	
1253	64	lblPickingWorkNo	450	String	1	
1254	64	lblAgain	1118	String	1	
1255	64	lblOrderPickingList	1139	String	1	
1256	64	lblShippingPackingNo	438	String	1	
1257	64	lblBox	837	String	1	
1258	64	lblOrders	2458	String	1	
1259	64	lblStoreDt	583	String	1	
1260	64	lblBreakdown	2681	String	1	
1261	65	lblClientCd	734	String	1	
1262	65	lblCenterCd	5142	String	1	
1263	65	lblWorkDt	387	String	1	
1264	65	lblDelivDt	589	String	1	
1265	65	lblCarrierNm	711	String	1	
1266	65	lblDeliveryCourseCd	980	String	1	
1267	65	lblSupplyCustomerCd	994	String	1	
1268	65	lblPickingWorkMessage	451	String	1	
1269	65	lblLineNo	760	String	1	
1270	65	lblWarehouseCd	723	String	1	
1271	65	lblLocationNm	1126	String	1	
1272	65	lblStoreLabelNo	573	String	1	
1273	65	lblProductCd	465	String	1	
1274	65	lblProductNm	469	String	1	
1275	65	lblLimitDt	313	String	1	
1276	65	lblJanCd	180	String	1	
1277	65	lblLot	266	String	1	
1278	65	lblStringUnitNum	585	String	1	
1279	65	lblSumPickingNum	1127	String	1	
1280	65	lblChargeNum	279	String	1	
1281	65	lblTotal	1137	String	1	
1282	65	lblConfirm	1120	String	1	
1283	65	lblPickingWorkNo	450	String	1	
1284	65	lblAgain	1118	String	1	
1285	65	lblOrderPickingList	1139	String	1	
1286	65	lblShippingPackingNo	438	String	1	
1287	65	lblBox	837	String	1	
1288	65	lblOrders	2458	String	1	
1289	65	lblStoreDt	583	String	1	
1290	65	lblBreakdown	2681	String	1	
1291	66	lblTitle	3138	String	1	
1292	66	lblClientTelNo	3116	String	1	
1293	66	lblBillTo	3117	String	1	
1294	66	lblShipTo	3118	String	1	
1295	66	lblShippingDt	3119	String	1	
1296	66	lblClientShippingNo	3120	String	1	
1297	66	lblProductCd	3121	String	1	
1298	66	lblProductNm	3122	String	1	
1299	66	lblAllocNum	3123	String	1	
1300	66	lblAllocNumSum	3124	String	1	
1301	66	lblSpecialNotes	3125	String	1	
1302	67	lblAttention	2021	String	1	
1303	67	lblLot1Mix	5162	String	1	
1304	67	lblLot4Mix	5163	String	1	
1305	67	lblReferenceNoMix	5164	String	1	
1306	67	lblCenterNm	5156	String	1	
1307	67	lblOtherRefNo1	5157	String	1	
1308	67	lblReferenceNo	5158	String	1	
1309	67	lblRmono	5159	String	1	
1310	67	lblItemCd	5113	String	1	
1311	67	lblProductNm	4960	String	1	
1312	67	lblExpectCaseQty	5117	String	1	
1313	67	lblExpectCartonQty	5118	String	1	
1314	67	lblLot1	4920	String	1	
1315	67	lblLot4	5114	String	1	
1316	67	lblLot2	4961	String	1	
1317	67	lblLot3	5115	String	1	
1318	67	lblReferenceNoDetail	5158	String	1	
1319	67	lblTotal	1129	String	1	
1320	68	lblAttention	2021	String	1	
1321	68	lblCenterNm	5156	String	1	
1322	68	lblOtherRefNo1	5157	String	1	
1323	68	lblReferenceNo	5158	String	1	
1324	68	lblRmaNo	5159	String	1	
1325	68	lblLot2	4961	String	1	
1326	68	lblLot3	5160	String	1	
1327	69	lblBonded	5644	String	1	
1328	69	lblLot4	4922	String	1	
1329	69	lblReceiveQtyCase	1155	String	1	
1330	69	lblReceiveQtyBowl	5016	String	1	
1331	69	lblCheck	5645	String	1	
1332	69	lblItemCd	5229	String	1	
1333	69	lblLot3	4921	String	1	
1334	69	lblLot1	4920	String	1	
1335	69	lblForeignCargoCd	5646	String	1	
1336	69	lblPalletNo	5647	String	1	
1337	69	lblPluralProductionKbn	5648	String	1	
1338	69	lblTransportNo1	5481	String	1	
1339	69	lblRtnRcvKbn	5649	String	1	
1340	69	lblPrintingDate	5473	String	1	
1341	69	lblOtherLot1Name	5650	String	1	
1342	69	lblPalletCuttingKbn	5651	String	1	
1343	69	lblShTypeCd	5652	String	1	
1344	70	lblClientCd	734	String	1	
1345	70	lblCenterCd	5142	String	1	
1346	70	lblWorkDt	387	String	1	
1347	70	lblDelivDt	589	String	1	
1348	70	lblPickingGroupNo	217	String	1	
1349	70	lblCarrierNm	711	String	1	
1350	70	lblDeliveryCourseCd	980	String	1	
1351	70	lblSupplyCustomerCd	994	String	1	
1352	70	lblPickingWorkMessage	451	String	1	
1353	70	lblLineNo	760	String	1	
1354	70	lblTempNo	289	String	1	
1355	70	lblLocationNm	1141	String	1	
1356	70	lblStoreLabelNo	573	String	1	
1357	70	lblProductCd	465	String	1	
1358	70	lblProductNm	469	String	1	
1359	70	lblLimitDt	313	String	1	
1360	70	lblJancd	180	String	1	
1361	70	lblLot	266	String	1	
1362	70	lblStringUnitNum	585	String	1	
1363	70	lblSumPickingNum	1127	String	1	
1364	70	lblBreakdown	2681	String	1	
1365	70	lblConfirm	1120	String	1	
1366	70	lblPickingWorkNoAbbr	450	String	1	
1367	70	lblAgain	1118	String	1	
1368	70	lblTotal	1137	String	1	
1369	70	lblPLPickingList	1140	String	1	
1370	70	lblShippingPackingNo	438	String	1	
1371	70	lblBox	837	String	1	
1372	70	lblSeedingNo	427	String	1	
1373	70	lblOrders	2458	String	1	
1374	70	lblStoreDt	583	String	1	
1375	70	lblCartNo	1550	String	1	
1376	71	lblClientCd	734	String	1	
1377	71	lblCenterCd	5142	String	1	
1378	71	lblWorkDt	387	String	1	
1379	71	lblDelivDt	589	String	1	
1380	71	lblPickingGroupNo	217	String	1	
1381	71	lblCarrierNm	711	String	1	
1382	71	lblDeliveryCourseCd	980	String	1	
1383	71	lblSupplyCustomerCd	994	String	1	
1384	71	lblPickingWorkMessage	451	String	1	
1385	71	lblLineNo	760	String	1	
1386	71	lblTempNo	289	String	1	
1387	71	lblLocationNm	1141	String	1	
1388	71	lblStoreLabelNo	573	String	1	
1389	71	lblProductCd	465	String	1	
1390	71	lblProductNm	469	String	1	
1391	71	lblLimitDt	313	String	1	
1392	71	lblJancd	180	String	1	
1393	71	lblLot	266	String	1	
1394	71	lblStringUnitNum	585	String	1	
1395	71	lblSumPickingNum	1127	String	1	
1396	71	lblBreakdown	2681	String	1	
1397	71	lblConfirm	1120	String	1	
1398	71	lblPickingWorkNoAbbr	450	String	1	
1399	71	lblAgain	1118	String	1	
1400	71	lblTotal	1137	String	1	
1401	71	lblPLPickingList	1140	String	1	
1402	71	lblShippingPackingNo	438	String	1	
1403	71	lblBox	837	String	1	
